"interval","exposure_type","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"BL_to_F1","met_change_sd","M3","incomeh_fctlt5000",0.088200358465053,0.170891405138754,0.516119335512745,0.60577106420245,1.09220693301177,0.78134331577349,1.5267500987553,10745,2656
"BL_to_F1","met_change_sd","M3","incomeh_fctnotknow",0.146341322312381,0.0737080695582348,1.98541792220946,0.0470979936102999,1.15759123234446,1.00187792169877,1.33750573016785,10745,2656
"BL_to_F1","met_change_sd","M3","marital_fctseparate",0.149785862555537,0.174999745551894,0.855920459102154,0.392041777526304,1.16158547714862,0.824311047040194,1.6368588357118,10745,2656
"BL_to_F1","met_change_sd","M3","marital_fctwidow",0.0790934524460593,0.0526747247725708,1.50154467417826,0.133214740914472,1.08230546143714,0.976142097950908,1.20001495101542,10745,2656
"BL_to_F1","met_change_sd","M3","marital_fctnever_married",0.051215137804414,0.305302874326205,0.167751901836641,0.866778462934756,1.05254931207475,0.578586337210038,1.91477050718335,10745,2656
"BL_to_F1","met_change_sd","M3","smk_fctex_occasional",0.153265762291552,0.0856108411357165,1.79026114284503,0.0734119398276837,1.16563471953641,0.985576624981616,1.37858819390533,10745,2656
"BL_to_F1","met_change_sd","M3","smk_fctex_daily",0.387072089552274,0.0657826824436192,5.88410315866982,0.0000000040021817021867,1.47266265103775,1.29452055804899,1.67531930665519,10745,2656
"BL_to_F1","met_change_sd","M3","smk_fctcurrent",0.626902186133003,0.0671319137053428,9.33836310528282,0.00000000000000000000978348906752565,1.87180309107807,1.641033215734,2.13502492099302,10745,2656
"BL_to_F1","met_change_sd","M3","drk1_fctlt1_month",-0.0378181965130741,0.0602842791952596,-0.627330989404081,0.530442293875805,0.962887981371765,0.855582108910127,1.08365200138562,10745,2656
"BL_to_F1","met_change_sd","M3","drk1_fctlt1_week",-0.170467241261364,0.135286161687176,-1.26004935859987,0.207651557060134,0.843270713661055,0.646861387793151,1.09931665413583,10745,2656
"BL_to_F1","met_change_sd","M3","drk1_fct1to4_week",-0.159295427574821,0.114449028805205,-1.39184604044082,0.163969024675123,0.852744397543479,0.681396164857642,1.06718095147147,10745,2656
"BL_to_F1","met_change_sd","M3","drk1_fctge5_week",-0.090179255478307,0.0790645604115192,-1.14057745984974,0.254045801538317,0.913767372782054,0.782592661490473,1.06692900744915,10745,2656
"BL_to_F1","met_change_sd","M3","drk1_fctex_drinker",-0.195880454319712,0.120019876902776,-1.63206678239129,0.102665418486795,0.822110508563978,0.649784122505813,1.04013881669643,10745,2656
"BL_to_F1","met_change_sd","M3","hyp_fctyes",0.230778692991595,0.0402753086266311,5.73002916330225,0.0000000100413369488783,1.25958045461959,1.16397461263127,1.36303911137131,10745,2656
"BL_to_F1","met_change_sd","M3","diab_fctyes",0.540094766770519,0.0492678881491754,10.9624095340802,0.000000000000000000000000000579359447088462,1.71616949031913,1.55820026721444,1.89015351971883,10745,2656
"BL_to_F1","met_change_sd","M3","hxchd_fctyes",0.031910976352515,0.0880980241691912,0.362221249039937,0.71718670175363,1.03242559092204,0.868699530544243,1.22700952782021,10745,2656
"BL_to_F1","met_change_sd","M3","hxstroke_fctyes",0.0706363818911059,0.19287757921664,0.366223913520644,0.714197999442503,1.07319092325811,0.735358806484496,1.56622691889647,10745,2656
"BL_to_F1","met_change_sd","M3","cancerhx_fctyes",0.505748119221097,0.118129213196483,4.28131285679429,0.0000185793933764786,1.65822560698623,1.31550301820211,2.0902363017174,10745,2656
"F1_to_F2","ipaq_direction","M1","ipaq_directionimproved",0.124794328693407,0.0774973083399645,1.61030533016657,0.107331216192434,1.13291542090876,0.973266241672982,1.31875256325198,10364,1371
"F1_to_F2","ipaq_direction","M1","ipaq_directionworsened",0.0861809388780743,0.0623755911578221,1.38164524421132,0.167080654629952,1.09000353448008,0.964569903060485,1.23174868032823,10364,1371
"F1_to_F2","ipaq_direction","M1","age_landmark_5",0.627594708742673,0.0201030449756589,31.2188879596388,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000590552947724703,1.87309980598986,1.80073238843321,1.94837550861844,10364,1371
"F1_to_F2","ipaq_direction","M1","sex_fctmale",0.611428681422584,0.0549826936806257,11.120384260803,0.0000000000000000000000000000998410429552073,1.84306266810585,1.65477422905777,2.05277550188805,10364,1371
"F1_to_F2","ipaq_direction","M1","phase_fct2",-0.140513375037156,0.0683000212903241,-2.05729621137119,0.0396577415761262,0.868912043124194,0.760043996755558,0.993374254528957,10364,1371
"F1_to_F2","ipaq_direction","M1","phase_fct3",-0.0213237674296107,0.0678891136527336,-0.314097007344742,0.753447362396316,0.978901976680221,0.856942904493865,1.11821811572664,10364,1371
"F1_to_F2","ipaq_direction","M3","ipaq_directionimproved",0.199873973072901,0.0912166406369441,2.19120076860131,0.0284372670166764,1.22124883822304,1.02131666472058,1.46031958194785,6070,932
"F1_to_F2","ipaq_direction","M3","ipaq_directionworsened",0.0326999475328765,0.0777878873103301,0.420373256859671,0.674212801478668,1.0332404663735,0.887131983571439,1.20341266138756,6070,932
"F1_to_F2","ipaq_direction","M3","age_landmark_5",0.602610569681061,0.0281553676968443,21.4030438589727,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125164099735051,1.82688178282987,1.72879919924289,1.93052903419741,6070,932
"F1_to_F2","ipaq_direction","M3","sex_fctmale",0.387844987522856,0.0993001275979658,3.90578538925061,0.0000939198399074803,1.47380130898861,1.21315003773838,1.79045479191171,6070,932
