"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"all_cause","S3_M3_ic5_hxht_hxdm","edu_fctprimary",-0.00937426560852454,0.192470424575447,-0.0487049666420301,0.961154417767307,0.990669535843656,0.679356422908436,1.44464098101412,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","edu_fctlt_primary",0.109260626749986,0.216450174492227,0.504784193435289,0.613710418943494,1.11545302935824,0.729807907628434,1.70488076067539,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","incomeh_fct30000_band",0.093107496895594,0.113041379410951,0.823658534430219,0.410133606469073,1.09757971533879,0.879457942692863,1.36979970620823,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","incomeh_fct20000_band",0.339655751559687,0.11424105641271,2.97314960334959,0.00294760743944766,1.40446402278532,1.12271223407508,1.75692321810615,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","incomeh_fct10000_band",0.340629924770554,0.127591834101769,2.6696843663119,0.00759225791260489,1.40583288065603,1.09478119918872,1.80526126115263,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","incomeh_fct5000_band",0.225808500687339,0.201648272443007,1.11981371301438,0.262793154385138,1.25333562938401,0.844158630813745,1.86084717083227,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","incomeh_fctlt5000",0.000137300091387055,0.240255531720569,0.000571475255548924,0.999544028741535,1.00013730951748,0.624530638877104,1.60164221836631,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","incomeh_fctnotknow",0.311241305970715,0.122111938904301,2.54881962208981,0.0108088189808295,1.36511859271206,1.0745546574825,1.73425219386619,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","marital_fctseparate",0.50757353045327,0.276066161378593,1.83859379185988,0.065974955082848,1.66125531502496,0.967048912415956,2.8538052070231,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","marital_fctwidow",0.0111292141742215,0.0970028106822711,0.114730842291517,0.908658466729247,1.01119137426191,0.836111918409465,1.22293196983342,5112,908
